Name	Partei	Beruf
Nolte, Jan Ralf	AfD	Soldat
Notz, Dr. Konstantin von	Grüne	Rechtsanwalt
Nouripour, Omid	Grüne	selbständig
Nürnberger, Jörg	SPD	Rechtsanwalt
Oehl, Lennard	SPD	Volkswirt
Oellers, Wilfried	CDU/CSU	Rechtsanwalt
Oppelt, Moritz	CDU/CSU	Jurist
Ortleb, Josephine	SPD	Fachwirtin im Gastgewerbe
Oßner, Florian	CDU/CSU	Diplom-Volkswirt (Univ.)
Oster, Josef	CDU/CSU	Diplom-Verwaltungswirt (FH)
Otte, Henning	CDU/CSU	Jurist, Prokorist
Otte, Karoline	Grüne	Verwaltungsbetriebswirtin
Otten, Gerold	AfD	Berufssoldat a.D.
Pahlke, Julian	Grüne	Referent
Pantazis, Dr. Christos	SPD	Arzt
Papenbrock, Wiebke	SPD	Referentin
Papendieck, Mathias	SPD	Informatiker
Pau, Petra	Die Linke	Lehrerin
Paus, Lisa	Grüne	Diplom-Volkswirtin
Pawlik, Natalie	SPD	ltd. Angestellte
Peick, Jens	SPD	Dipl.-Verwaltungswirt (FH)
Pellmann, Sören	Die Linke	Grund- und Förderschullehrer
Perli, Victor	Die Linke	Politikwissenschaftler
Peterka, Tobias Matthias	AfD	Diplom-Jurist
Petry, Christian	SPD	Diplom-Verwaltungswirt
Philippi, Dr. Andreas	SPD	Facharzt Chirurgie
Piechotta, Dr. med. Paula	Grüne	Ärztin
Pilsinger, Stephan	CDU/CSU	Arzt
Plobner, Jan	SPD	Standesbeamter
Ploß, Dr. Christoph	CDU/CSU	Historiker
Plum, Dr. Martin	CDU/CSU	Richter
Pohl, Jürgen	AfD	Rechtsanwalt
Polat, Filiz	Grüne	Diplom-Volkswirtin
Poschmann, Sabine	SPD	Betriebswirtin (VWA)
Post (Minden), Achim	SPD	Diplom-Soziologe
Protschka, Stephan	AfD	
Rachel, Thomas	CDU/CSU	Politikwissenschaftler
Radomski, Kerstin	CDU/CSU	Lehrerin
Radwan, Alexander	CDU/CSU	Diplom-Ingenieur
Raffelhüschen, Claudia	FDP	Volkswirtin
Rainer, Alois	CDU/CSU	Metzgermeister
